uci_id,name,repository_url,data_url,num_instances,num_features,has_missing_values,preprocessing_description,recommended_data_splits,is_binary,target_col
28,Japanese Credit Screening,https://archive.ics.uci.edu/dataset/28/japanese+credit+screening,https://archive.ics.uci.edu/static/public/28/data.csv,125,15,yes,,,True,A16
30,Contraceptive Method Choice,https://archive.ics.uci.edu/dataset/30/contraceptive+method+choice,https://archive.ics.uci.edu/static/public/30/data.csv,1473,9,no,,,True,contraceptive_method
31,Covertype,https://archive.ics.uci.edu/dataset/31/covertype,https://archive.ics.uci.edu/static/public/31/data.csv,581012,54,no,,,True,Cover_Type
32,Cylinder Bands,https://archive.ics.uci.edu/dataset/32/cylinder+bands,https://archive.ics.uci.edu/static/public/32/data.csv,512,39,no,,,True,band type
33,Dermatology,https://archive.ics.uci.edu/dataset/33/dermatology,https://archive.ics.uci.edu/static/public/33/data.csv,366,34,yes,,,True,class
39,Ecoli,https://archive.ics.uci.edu/dataset/39/ecoli,https://archive.ics.uci.edu/static/public/39/data.csv,336,7,no,,,True,class
42,Glass Identification,https://archive.ics.uci.edu/dataset/42/glass+identification,https://archive.ics.uci.edu/static/public/42/data.csv,214,9,no,,,True,Type_of_glass
43,Haberman's Survival,https://archive.ics.uci.edu/dataset/43/haberman+s+survival,https://archive.ics.uci.edu/static/public/43/data.csv,306,3,no,,,True,survival_status
44,Hayes-Roth,https://archive.ics.uci.edu/dataset/44/hayes+roth,https://archive.ics.uci.edu/static/public/44/data.csv,160,4,no,,,True,class
45,Heart Disease,https://archive.ics.uci.edu/dataset/45/heart+disease,https://archive.ics.uci.edu/static/public/45/data.csv,303,13,yes,,,True,num
46,Hepatitis,https://archive.ics.uci.edu/dataset/46/hepatitis,https://archive.ics.uci.edu/static/public/46/data.csv,155,19,yes,,,True,Class
47,Horse Colic,https://archive.ics.uci.edu/dataset/47/horse+colic,https://archive.ics.uci.edu/static/public/47/data.csv,368,27,yes,,,True,surgical_lesion
50,Image Segmentation,https://archive.ics.uci.edu/dataset/50/image+segmentation,https://archive.ics.uci.edu/static/public/50/data.csv,2310,19,no,,,True,class
52,Ionosphere,https://archive.ics.uci.edu/dataset/52/ionosphere,https://archive.ics.uci.edu/static/public/52/data.csv,351,34,no,,,True,Class
53,Iris,https://archive.ics.uci.edu/dataset/53/iris,https://archive.ics.uci.edu/static/public/53/data.csv,150,4,no,,,True,class
54,ISOLET,https://archive.ics.uci.edu/dataset/54/isolet,https://archive.ics.uci.edu/static/public/54/data.csv,7797,617,no,,,True,class
58,Lenses,https://archive.ics.uci.edu/dataset/58/lenses,https://archive.ics.uci.edu/static/public/58/data.csv,24,3,no,,,True,class
59,Letter Recognition,https://archive.ics.uci.edu/dataset/59/letter+recognition,https://archive.ics.uci.edu/static/public/59/data.csv,20000,16,no,,,True,lettr
60,Liver Disorders,https://archive.ics.uci.edu/dataset/60/liver+disorders,https://archive.ics.uci.edu/static/public/60/data.csv,345,5,no,,,True,drinks
62,Lung Cancer,https://archive.ics.uci.edu/dataset/62/lung+cancer,https://archive.ics.uci.edu/static/public/62/data.csv,32,56,yes,,,True,class
63,Lymphography,https://archive.ics.uci.edu/dataset/63/lymphography,https://archive.ics.uci.edu/static/public/63/data.csv,148,19,no,,,True,class
69,Molecular Biology (Splice-junction Gene Sequences),https://archive.ics.uci.edu/dataset/69/molecular+biology+splice+junction+gene+sequences,https://archive.ics.uci.edu/static/public/69/data.csv,3190,60,no,,,True,class
70,MONK's Problems,https://archive.ics.uci.edu/dataset/70/monk+s+problems,https://archive.ics.uci.edu/static/public/70/data.csv,432,6,no,,,True,class
73,Mushroom,https://archive.ics.uci.edu/dataset/73/mushroom,https://archive.ics.uci.edu/static/public/73/data.csv,8124,22,yes,,,True,poisonous
74,Musk (Version 1),https://archive.ics.uci.edu/dataset/74/musk+version+1,https://archive.ics.uci.edu/static/public/74/data.csv,476,168,no,,,True,class
75,Musk (Version 2),https://archive.ics.uci.edu/dataset/75/musk+version+2,https://archive.ics.uci.edu/static/public/75/data.csv,6598,166,no,,,True,class
76,Nursery,https://archive.ics.uci.edu/dataset/76/nursery,https://archive.ics.uci.edu/static/public/76/data.csv,12960,8,no,,,True,class
78,Page Blocks Classification,https://archive.ics.uci.edu/dataset/78/page+blocks+classification,https://archive.ics.uci.edu/static/public/78/data.csv,5473,10,no,,,True,class
80,Optical Recognition of Handwritten Digits,https://archive.ics.uci.edu/dataset/80/optical+recognition+of+handwritten+digits,https://archive.ics.uci.edu/static/public/80/data.csv,5620,64,no,,,True,class
81,Pen-Based Recognition of Handwritten Digits,https://archive.ics.uci.edu/dataset/81/pen+based+recognition+of+handwritten+digits,https://archive.ics.uci.edu/static/public/81/data.csv,10992,16,no,,,True,Class
82,Post-Operative Patient,https://archive.ics.uci.edu/dataset/82/post+operative+patient,https://archive.ics.uci.edu/static/public/82/data.csv,90,8,yes,,,True,ADM-DECS
83,Primary Tumor,https://archive.ics.uci.edu/dataset/83/primary+tumor,https://archive.ics.uci.edu/static/public/83/data.csv,339,17,yes,,,True,class
87,Servo,https://archive.ics.uci.edu/dataset/87/servo,https://archive.ics.uci.edu/static/public/87/data.csv,167,4,no,,,True,class
88,Shuttle Landing Control,https://archive.ics.uci.edu/dataset/88/shuttle+landing+control,https://archive.ics.uci.edu/static/public/88/data.csv,15,6,yes,,,True,Class
89,Solar Flare,https://archive.ics.uci.edu/dataset/89/solar+flare,https://archive.ics.uci.edu/static/public/89/data.csv,1389,10,no,,,False,common flares;moderate flares;severe flares
90,Soybean (Large),https://archive.ics.uci.edu/dataset/90/soybean+large,https://archive.ics.uci.edu/static/public/90/data.csv,307,35,yes,,,True,class
91,Soybean (Small),https://archive.ics.uci.edu/dataset/91/soybean+small,https://archive.ics.uci.edu/static/public/91/data.csv,47,35,no,,,True,class
92,Challenger USA Space Shuttle O-Ring,https://archive.ics.uci.edu/dataset/92/challenger+usa+space+shuttle+o+ring,https://archive.ics.uci.edu/static/public/92/data.csv,23,4,no,,,True,num_O_rings
94,Spambase,https://archive.ics.uci.edu/dataset/94/spambase,https://archive.ics.uci.edu/static/public/94/data.csv,4601,57,no,,,True,Class
95,SPECT Heart,https://archive.ics.uci.edu/dataset/95/spect+heart,https://archive.ics.uci.edu/static/public/95/data.csv,267,22,no,,,True,OVERALL_DIAGNOSIS
96,SPECTF Heart,https://archive.ics.uci.edu/dataset/96/spectf+heart,https://archive.ics.uci.edu/static/public/96/data.csv,267,44,no,,,True,diagnosis
101,Tic-Tac-Toe Endgame,https://archive.ics.uci.edu/dataset/101/tic+tac+toe+endgame,https://archive.ics.uci.edu/static/public/101/data.csv,958,9,no,,,True,class
105,Congressional Voting Records,https://archive.ics.uci.edu/dataset/105/congressional+voting+records,https://archive.ics.uci.edu/static/public/105/data.csv,435,16,yes,,,True,Class
107,Waveform Database Generator (Version 1),https://archive.ics.uci.edu/dataset/107/waveform+database+generator+version+1,https://archive.ics.uci.edu/static/public/107/data.csv,5000,21,no,,,True,class
109,Wine,https://archive.ics.uci.edu/dataset/109/wine,https://archive.ics.uci.edu/static/public/109/data.csv,178,13,no,,,True,class
110,Yeast,https://archive.ics.uci.edu/dataset/110/yeast,https://archive.ics.uci.edu/static/public/110/data.csv,1484,8,no,,,True,localization_site
111,Zoo,https://archive.ics.uci.edu/dataset/111/zoo,https://archive.ics.uci.edu/static/public/111/data.csv,101,16,no,,,True,type
117,Census-Income (KDD),https://archive.ics.uci.edu/dataset/117/census+income+kdd,https://archive.ics.uci.edu/static/public/117/data.csv,299285,41,yes,,,True,income
143,Statlog (Australian Credit Approval),https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval,https://archive.ics.uci.edu/static/public/143/data.csv,690,14,no,,,True,A15
144,Statlog (German Credit Data),https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,https://archive.ics.uci.edu/static/public/144/data.csv,1000,20,no,,,True,class
145,Statlog (Heart),https://archive.ics.uci.edu/dataset/145/statlog+heart,https://archive.ics.uci.edu/static/public/145/data.csv,270,13,no,,,True,heart-disease
146,Statlog (Landsat Satellite),https://archive.ics.uci.edu/dataset/146/statlog+landsat+satellite,https://archive.ics.uci.edu/static/public/146/data.csv,6435,36,no,,,True,class
147,Statlog (Image Segmentation),https://archive.ics.uci.edu/dataset/147/statlog+image+segmentation,https://archive.ics.uci.edu/static/public/147/data.csv,2310,19,no,,,True,class
148,Statlog (Shuttle),https://archive.ics.uci.edu/dataset/148/statlog+shuttle,https://archive.ics.uci.edu/static/public/148/data.csv,58000,7,no,,,True,class
149,Statlog (Vehicle Silhouettes),https://archive.ics.uci.edu/dataset/149/statlog+vehicle+silhouettes,https://archive.ics.uci.edu/static/public/149/data.csv,946,18,no,,,True,class
151,"Connectionist Bench (Sonar, Mines vs. Rocks)",https://archive.ics.uci.edu/dataset/151/connectionist+bench+sonar+mines+vs+rocks,https://archive.ics.uci.edu/static/public/151/data.csv,208,60,no,,,True,class
158,Poker Hand,https://archive.ics.uci.edu/dataset/158/poker+hand,https://archive.ics.uci.edu/static/public/158/data.csv,1025010,10,no,,,True,CLASS
159,MAGIC Gamma Telescope,https://archive.ics.uci.edu/dataset/159/magic+gamma+telescope,https://archive.ics.uci.edu/static/public/159/data.csv,19020,10,no,,,True,class
161,Mammographic Mass,https://archive.ics.uci.edu/dataset/161/mammographic+mass,https://archive.ics.uci.edu/static/public/161/data.csv,961,5,yes,,,True,Severity
162,Forest Fires,https://archive.ics.uci.edu/dataset/162/forest+fires,https://archive.ics.uci.edu/static/public/162/data.csv,517,12,no,,,True,area
165,Concrete Compressive Strength,https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength,https://archive.ics.uci.edu/static/public/165/data.csv,1030,8,no,,,True,Concrete compressive strength
172,Ozone Level Detection,https://archive.ics.uci.edu/dataset/172/ozone+level+detection,https://archive.ics.uci.edu/static/public/172/data.csv,2536,72,yes,,,True,Class
174,Parkinsons,https://archive.ics.uci.edu/dataset/174/parkinsons,https://archive.ics.uci.edu/static/public/174/data.csv,197,22,no,,,True,status
176,Blood Transfusion Service Center,https://archive.ics.uci.edu/dataset/176/blood+transfusion+service+center,https://archive.ics.uci.edu/static/public/176/data.csv,748,4,no,,,True,Donated_Blood
183,Communities and Crime,https://archive.ics.uci.edu/dataset/183/communities+and+crime,https://archive.ics.uci.edu/static/public/183/data.csv,1994,127,yes,,,True,ViolentCrimesPerPop
184,Acute Inflammations,https://archive.ics.uci.edu/dataset/184/acute+inflammations,https://archive.ics.uci.edu/static/public/184/data.csv,120,6,no,,,False,bladder-inflammation;nephritis
186,Wine Quality,https://archive.ics.uci.edu/dataset/186/wine+quality,https://archive.ics.uci.edu/static/public/186/data.csv,4898,11,no,,,True,quality
189,Parkinsons Telemonitoring,https://archive.ics.uci.edu/dataset/189/parkinsons+telemonitoring,https://archive.ics.uci.edu/static/public/189/data.csv,5875,19,no,,,False,motor_UPDRS;total_UPDRS
193,Cardiotocography,https://archive.ics.uci.edu/dataset/193/cardiotocography,https://archive.ics.uci.edu/static/public/193/data.csv,2126,21,no,,,False,CLASS;NSP
198,Steel Plates Faults,https://archive.ics.uci.edu/dataset/198/steel+plates+faults,https://archive.ics.uci.edu/static/public/198/data.csv,1941,27,no,,,False,Pastry;Z_Scratch;K_Scratch;Stains;Dirtiness;Bumps;Other_Faults
211,Communities and Crime Unnormalized,https://archive.ics.uci.edu/dataset/211/communities+and+crime+unnormalized,https://archive.ics.uci.edu/static/public/211/data.csv,2215,125,yes,,,False,murders;murdPerPop;rapes;rapesPerPop;robberies;robbbPerPop;assaults;assaultPerPop;burglaries;burglPerPop;larcenies;larcPerPop;autoTheft;autoTheftPerPop;arsons;arsonsPerPop;violentPerPop;nonViolPerPop
212,Vertebral Column,https://archive.ics.uci.edu/dataset/212/vertebral+column,https://archive.ics.uci.edu/static/public/212/data.csv,310,6,no,,,True,class
222,Bank Marketing,https://archive.ics.uci.edu/dataset/222/bank+marketing,https://archive.ics.uci.edu/static/public/222/data.csv,45211,16,yes,,,True,y
225,ILPD (Indian Liver Patient Dataset),https://archive.ics.uci.edu/dataset/225/ilpd+indian+liver+patient+dataset,https://archive.ics.uci.edu/static/public/225/data.csv,583,10,no,"Any patient whose age exceeded 89 is listed as being of age ""90"".",,True,Selector
229,Skin Segmentation,https://archive.ics.uci.edu/dataset/229/skin+segmentation,https://archive.ics.uci.edu/static/public/229/data.csv,245057,3,no,,,True,y
242,Energy Efficiency,https://archive.ics.uci.edu/dataset/242/energy+efficiency,https://archive.ics.uci.edu/static/public/242/data.csv,768,8,no,,,False,Y1;Y2
244,Fertility,https://archive.ics.uci.edu/dataset/244/fertility,https://archive.ics.uci.edu/static/public/244/data.csv,100,9,no,,,True,diagnosis
257,User Knowledge Modeling,https://archive.ics.uci.edu/dataset/257/user+knowledge+modeling,https://archive.ics.uci.edu/static/public/257/data.csv,403,5,no,,,True,UNS
264,EEG Eye State,https://archive.ics.uci.edu/dataset/264/eeg+eye+state,https://archive.ics.uci.edu/static/public/264/data.csv,14980,14,no,,,True,eyeDetection
267,Banknote Authentication,https://archive.ics.uci.edu/dataset/267/banknote+authentication,https://archive.ics.uci.edu/static/public/267/data.csv,1372,4,no,,,True,class
270,Gas Sensor Array Drift at Different Concentrations,https://archive.ics.uci.edu/dataset/270/gas+sensor+array+drift+dataset+at+different+concentrations,https://archive.ics.uci.edu/static/public/270/data.csv,13910,128,no,,,True,class
275,Bike Sharing,https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset,https://archive.ics.uci.edu/static/public/275/data.csv,17389,13,no,,,True,cnt
277,Thoracic Surgery Data,https://archive.ics.uci.edu/dataset/277/thoracic+surgery+data,https://archive.ics.uci.edu/static/public/277/data.csv,470,16,no,,,True,Risk1Yr
291,Airfoil Self-Noise,https://archive.ics.uci.edu/dataset/291/airfoil+self+noise,https://archive.ics.uci.edu/static/public/291/data.csv,1503,5,no,,,True,scaled-sound-pressure
292,Wholesale customers,https://archive.ics.uci.edu/dataset/292/wholesale+customers,https://archive.ics.uci.edu/static/public/292/data.csv,440,7,no,,,True,Region
294,Combined Cycle Power Plant,https://archive.ics.uci.edu/dataset/294/combined+cycle+power+plant,https://archive.ics.uci.edu/static/public/294/data.csv,9568,4,no,,,True,PE
296,Diabetes 130-US Hospitals for Years 1999-2008,https://archive.ics.uci.edu/dataset/296/diabetes+130-us+hospitals+for+years+1999-2008,https://archive.ics.uci.edu/static/public/296/data.csv,101766,47,yes,,"No recommendation. The standard train-test split could be used. Can use three-way holdout split (i.e., train-validation-test) when doing model selection.",True,readmitted
300,Tennis Major Tournament Match Statistics,https://archive.ics.uci.edu/dataset/300/tennis+major+tournament+match+statistics,https://archive.ics.uci.edu/static/public/300/data.csv,127,42,yes,,,True,Result
312,Dow Jones Index,https://archive.ics.uci.edu/dataset/312/dow+jones+index,https://archive.ics.uci.edu/static/public/312/data.csv,750,15,no,,,True,percent_change_next_weeks_price
320,Student Performance,https://archive.ics.uci.edu/dataset/320/student+performance,https://archive.ics.uci.edu/static/public/320/data.csv,649,30,no,,,False,G1;G2;G3
327,Phishing Websites,https://archive.ics.uci.edu/dataset/327/phishing+websites,https://archive.ics.uci.edu/static/public/327/data.csv,11055,30,no,,,True,result
329,Diabetic Retinopathy Debrecen,https://archive.ics.uci.edu/dataset/329/diabetic+retinopathy+debrecen,https://archive.ics.uci.edu/static/public/329/data.csv,1151,19,no,,,True,Class
332,Online News Popularity,https://archive.ics.uci.edu/dataset/332/online+news+popularity,https://archive.ics.uci.edu/static/public/332/data.csv,39797,58,no,,,True, shares
336,Chronic Kidney Disease,https://archive.ics.uci.edu/dataset/336/chronic+kidney+disease,https://archive.ics.uci.edu/static/public/336/data.csv,400,24,yes,,,True,class
342,Mice Protein Expression,https://archive.ics.uci.edu/dataset/342/mice+protein+expression,https://archive.ics.uci.edu/static/public/342/data.csv,1080,80,yes,,,True,class
350,Default of Credit Card Clients,https://archive.ics.uci.edu/dataset/350/default+of+credit+card+clients,https://archive.ics.uci.edu/static/public/350/data.csv,30000,23,no,,,True,Y
357,Occupancy Detection ,https://archive.ics.uci.edu/dataset/357/occupancy+detection,https://archive.ics.uci.edu/static/public/357/data.csv,20560,6,no,,,True,Occupancy
365,Polish Companies Bankruptcy,https://archive.ics.uci.edu/dataset/365/polish+companies+bankruptcy+data,https://archive.ics.uci.edu/static/public/365/data.csv,10503,65,yes,,,True,class
367,Dota2 Games Results,https://archive.ics.uci.edu/dataset/367/dota2+games+results,https://archive.ics.uci.edu/static/public/367/data.csv,102944,115,no,,,True,win
368,Facebook Metrics,https://archive.ics.uci.edu/dataset/368/facebook+metrics,https://archive.ics.uci.edu/static/public/368/data.csv,500,18,no,,,True,Total Interactions
372,HTRU2,https://archive.ics.uci.edu/dataset/372/htru2,https://archive.ics.uci.edu/static/public/372/data.csv,17898,8,no,,,True,class
373,Drug Consumption (Quantified),https://archive.ics.uci.edu/dataset/373/drug+consumption+quantified,https://archive.ics.uci.edu/static/public/373/data.csv,1885,12,no,,,False,alcohol;amphet;amyl;benzos;caff;cannabis;choc;coke;crack;ecstasy;heroin;ketamine;legalh;lsd;meth;mushrooms;nicotine;semer;vsa
374,Appliances Energy Prediction,https://archive.ics.uci.edu/dataset/374/appliances+energy+prediction,https://archive.ics.uci.edu/static/public/374/data.csv,19735,28,no,,,True,Appliances
379,Website Phishing,https://archive.ics.uci.edu/dataset/379/website+phishing,https://archive.ics.uci.edu/static/public/379/data.csv,1353,9,no,,,True,Result
380,YouTube Spam Collection,https://archive.ics.uci.edu/dataset/380/youtube+spam+collection,https://archive.ics.uci.edu/static/public/380/data.csv,1956,3,no,,,True,CLASS
381,Beijing PM2.5,https://archive.ics.uci.edu/dataset/381/beijing+pm2+5+data,https://archive.ics.uci.edu/static/public/381/data.csv,43824,11,yes,,,True,pm2.5
390,Stock Portfolio Performance,https://archive.ics.uci.edu/dataset/390/stock+portfolio+performance,https://archive.ics.uci.edu/static/public/390/data.csv,315,12,no,,,False,Annual Return;Excess Return;Systematic Risk;Total Risk;Abs. Win Rate;Rel. Win Rate
409,Daily Demand Forecasting Orders,https://archive.ics.uci.edu/dataset/409/daily+demand+forecasting+orders,https://archive.ics.uci.edu/static/public/409/data.csv,60,12,no,,,True,Total orders
419,Autistic Spectrum Disorder Screening Data for Children  ,https://archive.ics.uci.edu/dataset/419/autistic+spectrum+disorder+screening+data+for+children,https://archive.ics.uci.edu/static/public/419/data.csv,292,20,yes,,,True,class
426,Autism Screening Adult,https://archive.ics.uci.edu/dataset/426/autism+screening+adult,https://archive.ics.uci.edu/static/public/426/data.csv,704,20,yes,,,True,class
445,Absenteeism at work,https://archive.ics.uci.edu/dataset/445/absenteeism+at+work,https://archive.ics.uci.edu/static/public/445/data.csv,740,19,no,,,True,Absenteeism time in hours
451,Breast Cancer Coimbra,https://archive.ics.uci.edu/dataset/451/breast+cancer+coimbra,https://archive.ics.uci.edu/static/public/451/data.csv,116,9,no,,,True,Classification
464,Superconductivty Data,https://archive.ics.uci.edu/dataset/464/superconductivty+data,https://archive.ics.uci.edu/static/public/464/data.csv,21263,81,no,,,True,critical_temp
468,Online Shoppers Purchasing Intention Dataset,https://archive.ics.uci.edu/dataset/468/online+shoppers+purchasing+intention+dataset,https://archive.ics.uci.edu/static/public/468/data.csv,12330,17,no,,,True,Revenue
471,Electrical Grid Stability Simulated Data ,https://archive.ics.uci.edu/dataset/471/electrical+grid+stability+simulated+data,https://archive.ics.uci.edu/static/public/471/data.csv,10000,12,no,,,False,stab;stabf
477,Real Estate Valuation,https://archive.ics.uci.edu/dataset/477/real+estate+valuation+data+set,https://archive.ics.uci.edu/static/public/477/data.csv,414,6,no,,,True,Y house price of unit area
492,Metro Interstate Traffic Volume,https://archive.ics.uci.edu/dataset/492/metro+interstate+traffic+volume,https://archive.ics.uci.edu/static/public/492/data.csv,48204,8,no,,,True,traffic_volume
503,Hepatitis C Virus (HCV) for Egyptian patients,https://archive.ics.uci.edu/dataset/503/hepatitis+c+virus+hcv+for+egyptian+patients,https://archive.ics.uci.edu/static/public/503/data.csv,1385,28,no,,,True,Baselinehistological staging
519,Heart Failure Clinical Records,https://archive.ics.uci.edu/dataset/519/heart+failure+clinical+records,https://archive.ics.uci.edu/static/public/519/data.csv,299,12,no,,,True,death_event
529,Early Stage Diabetes Risk Prediction,https://archive.ics.uci.edu/dataset/529/early+stage+diabetes+risk+prediction+dataset,https://archive.ics.uci.edu/static/public/529/data.csv,520,16,no,,,True,class
537,Cervical Cancer Behavior Risk,https://archive.ics.uci.edu/dataset/537/cervical+cancer+behavior+risk,https://archive.ics.uci.edu/static/public/537/data.csv,72,19,no,,,True,ca_cervix
544,Estimation of Obesity Levels Based On Eating Habits and Physical Condition ,https://archive.ics.uci.edu/dataset/544/estimation+of+obesity+levels+based+on+eating+habits+and+physical+condition,https://archive.ics.uci.edu/static/public/544/data.csv,2111,16,no,,,True,NObeyesdad
545,Rice (Cammeo and Osmancik),https://archive.ics.uci.edu/dataset/545/rice+cammeo+and+osmancik,https://archive.ics.uci.edu/static/public/545/data.csv,3810,7,no,,,True,Class
547,Algerian Forest Fires,https://archive.ics.uci.edu/dataset/547/algerian+forest+fires+dataset,https://archive.ics.uci.edu/static/public/547/data.csv,244,14,no,,,True,Classes  
560,Seoul Bike Sharing Demand,https://archive.ics.uci.edu/dataset/560/seoul+bike+sharing+demand,https://archive.ics.uci.edu/static/public/560/data.csv,8760,13,no,,,True,Functioning Day
563,Iranian Churn,https://archive.ics.uci.edu/dataset/563/iranian+churn+dataset,https://archive.ics.uci.edu/static/public/563/data.csv,3150,13,no,,,True,Churn
565,Bone marrow transplant: children,https://archive.ics.uci.edu/dataset/565/bone+marrow+transplant+children,https://archive.ics.uci.edu/static/public/565/data.csv,187,36,yes,,,True,survival_status
567,COVID-19 Surveillance,https://archive.ics.uci.edu/dataset/567/covid+19+surveillance,https://archive.ics.uci.edu/static/public/567/data.csv,14,7,no,,,True,Categories
571,HCV data,https://archive.ics.uci.edu/dataset/571/hcv+data,https://archive.ics.uci.edu/static/public/571/data.csv,615,12,yes,,,True,Category
572,Taiwanese Bankruptcy Prediction,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction,https://archive.ics.uci.edu/static/public/572/data.csv,6819,95,no,,,True,Bankrupt?
579,Myocardial infarction complications,https://archive.ics.uci.edu/dataset/579/myocardial+infarction+complications,https://archive.ics.uci.edu/static/public/579/data.csv,1700,111,yes,,,False,FIBR_PREDS;PREDS_TAH;JELUD_TAH;FIBR_JELUD;A_V_BLOK;OTEK_LANC;RAZRIV;DRESSLER;ZSN;REC_IM;P_IM_STEN;LET_IS
582,Student Performance on an Entrance Examination,https://archive.ics.uci.edu/dataset/582/student+performance+on+an+entrance+examination,https://archive.ics.uci.edu/static/public/582/data.csv,666,11,no,,,True,Performance
597,Productivity Prediction of Garment Employees,https://archive.ics.uci.edu/dataset/597/productivity+prediction+of+garment+employees,https://archive.ics.uci.edu/static/public/597/data.csv,1197,14,yes,,,True,actual_productivity
601,AI4I 2020 Predictive Maintenance Dataset,https://archive.ics.uci.edu/dataset/601/ai4i+2020+predictive+maintenance+dataset,https://archive.ics.uci.edu/static/public/601/data.csv,10000,6,no,,,False,Machine failure;TWF;HDF;PWF;OSF;RNF
602,Dry Bean,https://archive.ics.uci.edu/dataset/602/dry+bean+dataset,https://archive.ics.uci.edu/static/public/602/data.csv,13611,16,no,,,True,Class
603,In-Vehicle Coupon Recommendation,https://archive.ics.uci.edu/dataset/603/in+vehicle+coupon+recommendation,https://archive.ics.uci.edu/static/public/603/data.csv,12684,25,no,,,True,Y
697,Predict Students' Dropout and Academic Success,https://archive.ics.uci.edu/dataset/697/predict+students+dropout+and+academic+success,https://archive.ics.uci.edu/static/public/697/data.csv,4424,36,no,"We performed a rigorous data preprocessing to handle data from anomalies, unexplainable outliers, and missing values.","The dataset was used, in our project, with a data split of 80% for training and 20% for test.",True,Target
713,Auction Verification,https://archive.ics.uci.edu/dataset/713/auction+verification,https://archive.ics.uci.edu/static/public/713/data.csv,2043,7,no,,,False,verification.result;verification.time
722,NATICUSdroid (Android Permissions),https://archive.ics.uci.edu/dataset/722/naticusdroid+android+permissions+dataset,https://archive.ics.uci.edu/static/public/722/data.csv,29333,86,no,,"70-30, 10-fold cross validation",True,Result
732,DARWIN,https://archive.ics.uci.edu/dataset/732/darwin,https://archive.ics.uci.edu/static/public/732/data.csv,174,451,no,,,True,class
